Gender,Perspective,Age_1,Age_2,Pair_ID,Spare
1,1,0,1,132,1
1,1,1,0,132,0
0,1,0,1,133,1
0,1,0,0,133,0
0,1,0,1,134,1
0,1,1,0,134,0
0,1,1,0,135,1
0,1,0,0,135,0
0,1,0,1,136,1
1,1,0,1,136,0
0,1,1,0,137,0
0,1,0,1,137,1
1,1,1,0,138,1
0,1,1,0,138,0
1,1,1,0,139,0
1,1,0,1,139,1
0,1,0,0,140,0
1,1,0,0,140,1
0,1,0,0,141,1
0,1,1,0,141,0
0,1,0,0,142,0
0,1,0,1,142,1
1,1,0,0,143,0
1,1,0,1,143,1
1,1,1,0,144,0
1,1,0,0,144,1
0,1,1,0,145,0
0,1,0,1,145,1
1,1,0,1,146,1
1,1,0,0,146,0
0,1,0,0,147,0
0,1,1,0,147,1
1,1,1,0,148,1
1,1,0,0,148,0
0,1,0,1,149,1
0,1,0,0,149,0
1,1,0,1,150,1
0,1,0,1,150,0
1,1,0,1,151,1
1,1,1,0,151,0
0,1,1,0,152,0
1,1,1,0,152,1
1,1,0,1,153,1
1,1,0,0,153,0
1,1,1,0,154,1
1,1,0,0,154,0
1,1,0,1,155,1
0,1,0,1,155,0
1,1,1,0,156,0
0,1,1,0,156,1
1,1,1,0,157,0
1,1,0,1,157,1
0,1,0,1,158,1
0,1,1,0,158,0
0,1,0,0,159,0
1,1,0,0,159,1
0,1,0,1,160,1
0,1,0,0,160,0
1,1,0,0,161,1
0,1,0,0,161,0
1,1,1,0,162,1
0,1,1,0,162,0
1,1,1,0,163,0
1,1,0,1,163,1
0,1,1,0,164,1
0,1,0,0,164,0
1,1,0,1,165,0
0,1,0,1,165,1
0,1,0,0,166,0
0,1,0,1,166,1
1,1,0,1,167,1
1,1,0,0,167,0
0,1,1,0,168,0
0,1,0,1,168,1
1,1,0,1,169,1
1,1,0,0,169,0
0,1,0,0,170,0
0,1,1,0,170,1
1,1,0,0,171,1
0,1,0,0,171,0
1,1,0,1,172,1
0,1,0,1,172,0
0,1,0,1,173,1
0,1,0,0,173,0
1,1,0,0,174,0
1,1,1,0,174,1
1,1,1,0,175,1
0,1,1,0,175,0
1,1,1,0,176,0
1,1,0,1,176,1
0,1,0,1,177,1
0,1,1,0,177,0
1,1,0,0,178,0
1,1,1,0,178,1
0,1,1,0,179,0
0,1,0,1,179,1
1,1,0,1,180,1
1,1,1,0,180,0
0,1,1,0,181,0
1,1,1,0,181,1
0,1,0,1,182,0
1,1,0,1,182,1
0,1,0,1,183,1
0,1,0,0,183,0
1,1,0,1,184,1
1,1,0,0,184,0
0,1,0,0,185,0
0,1,1,0,185,1
0,1,1,0,186,1
0,1,0,1,186,0
1,1,0,1,187,0
1,1,1,0,187,1
0,1,0,1,188,0
1,1,0,1,188,1
1,1,1,0,189,1
0,1,1,0,189,0
1,1,1,0,190,1
1,1,0,0,190,0
0,1,0,0,191,0
1,1,0,0,191,1
1,1,0,1,192,1
1,1,0,0,192,0
0,1,0,0,193,0
0,1,0,1,193,1
1,1,0,1,194,1
1,1,1,0,194,0
0,1,1,0,195,1
1,1,1,0,195,0
0,1,0,0,196,0
0,1,1,0,196,1
1,1,0,0,197,1
0,1,0,0,197,0
0,1,0,1,198,1
0,1,1,0,198,0
1,1,0,1,199,1
1,1,0,0,199,0
0,1,0,0,200,0
0,1,0,1,200,1
0,1,0,1,201,0
1,1,0,1,201,1
0,1,0,0,202,0
1,1,0,0,202,1
1,1,0,0,203,0
1,1,0,1,203,1
0,1,0,1,204,1
0,1,1,0,204,0
1,1,0,1,205,1
1,1,1,0,205,0
0,1,0,1,206,0
1,1,0,1,206,1
1,1,1,0,207,1
1,1,0,0,207,0
0,1,1,0,208,1
0,1,0,0,208,0
1,1,0,1,209,1
1,1,1,0,209,0
0,1,0,0,210,0
0,1,1,0,210,1
0,1,0,0,211,1
1,1,0,0,211,0
1,1,0,1,212,1
1,1,0,0,212,0
0,1,1,0,213,1
1,1,1,0,213,0
1,1,0,0,214,0
1,1,1,0,214,1
0,1,0,1,215,1
0,1,0,0,215,0
1,1,0,1,216,0
0,1,0,1,216,1
1,1,0,0,217,1
0,1,0,0,217,0
1,1,0,1,218,1
0,1,0,1,218,0
0,1,0,1,219,1
0,1,0,0,219,0
0,1,1,0,220,0
1,1,1,0,220,1
0,1,0,0,221,0
0,1,1,0,221,1
0,1,0,1,222,1
0,1,1,0,222,0
1,1,1,0,223,1
1,1,0,0,223,0
0,1,0,0,224,0
0,1,0,1,224,1
0,1,1,0,225,0
1,1,1,0,225,1
0,1,0,0,226,0
0,1,1,0,226,1
1,1,0,1,227,1
1,1,0,0,227,0
1,1,0,0,228,0
1,1,1,0,228,1
0,1,0,0,229,0
1,1,0,0,229,1
1,1,0,1,230,1
1,1,1,0,230,0
0,1,0,1,231,1
0,1,1,0,231,0
0,1,1,0,232,1
0,1,0,0,232,0
1,1,0,1,233,1
0,1,0,1,233,0
1,1,1,0,234,0
1,1,0,1,234,1
0,1,1,0,235,0
0,1,0,1,235,1
0,1,0,0,236,0
0,1,0,1,236,1
0,1,1,0,237,0
1,1,1,0,237,1
1,1,0,0,238,0
1,1,1,0,238,1
1,1,0,0,239,1
0,1,0,0,239,0
1,1,0,1,240,1
1,1,0,0,240,0
1,1,1,0,241,0
1,1,0,1,241,1
1,1,1,0,242,1
0,1,1,0,242,0
0,1,0,0,243,0
0,1,1,0,243,1
0,1,0,1,244,1
0,1,1,0,244,0
0,1,0,0,245,0
1,1,0,0,245,1
1,1,0,0,246,0
1,1,1,0,246,1
0,1,0,0,247,0
0,1,0,1,247,1
1,1,0,0,248,0
1,1,0,1,248,1
1,1,0,1,249,1
0,1,0,1,249,0
1,1,1,0,250,0
1,1,0,1,250,1
1,1,0,0,251,0
1,1,1,0,251,1
0,1,0,0,252,0
0,1,0,1,252,1
0,1,0,0,253,0
0,1,1,0,253,1
1,1,0,1,254,0
0,1,0,1,254,1
1,1,1,0,255,1
0,1,1,0,255,0
0,1,0,1,256,1
0,1,1,0,256,0
1,1,0,1,257,1
1,1,0,0,257,0
0,1,1,0,258,1
1,1,1,0,258,0
0,1,0,1,259,1
0,1,0,0,259,0
1,1,0,0,260,1
1,1,1,0,260,0
0,1,0,1,261,1
1,1,0,1,261,0
0,1,0,1,262,1
0,1,1,0,262,0
1,1,0,1,263,1
1,1,0,0,263,0
1,1,0,0,264,0
0,1,0,0,264,1
1,1,0,1,265,1
1,1,1,0,265,0
1,1,0,1,266,1
1,1,0,0,266,0
1,1,1,0,267,1
0,1,1,0,267,0
0,1,1,0,268,1
0,1,0,0,268,0
1,1,0,1,269,0
1,1,1,0,269,1
0,1,0,1,270,0
0,1,1,0,270,1
0,1,0,1,271,1
0,1,0,0,271,0
1,1,0,0,272,1
0,1,0,0,272,0
0,1,0,1,273,0
1,1,0,1,273,1
0,1,0,0,274,0
1,1,0,0,274,1
1,1,1,0,275,1
1,1,0,0,275,0
0,1,0,1,276,0
1,1,0,1,276,1
1,1,0,1,277,1
1,1,0,0,277,0
1,1,0,1,278,1
1,1,1,0,278,0
0,1,0,0,279,0
0,1,1,0,279,1
0,1,0,1,280,1
0,1,1,0,280,0
1,1,0,1,281,1
1,1,1,0,281,0
1,1,1,0,282,0
1,1,0,0,282,1
0,1,1,0,283,0
1,1,1,0,283,1
0,1,0,0,284,0
0,1,1,0,284,1
1,1,0,0,285,0
1,1,0,1,285,1
0,1,0,0,286,0
1,1,0,0,286,1
0,1,0,1,287,0
1,1,0,1,287,1
0,1,0,0,288,0
0,1,0,1,288,1
0,1,0,0,289,0
0,1,0,1,289,1
0,1,1,0,290,1
1,1,1,0,290,0
0,1,1,0,291,1
0,1,0,0,291,0
0,1,0,0,292,1
1,1,0,0,292,0
1,1,0,1,293,1
0,1,0,1,293,0
1,1,1,0,294,1
1,1,0,0,294,0
0,1,0,1,295,1
0,1,1,0,295,0
1,1,1,0,296,1
0,1,1,0,296,0
1,1,1,0,297,1
1,1,0,0,297,0
1,1,0,1,298,1
1,1,1,0,298,0
0,1,0,0,299,0
1,1,0,0,299,1
0,1,1,0,300,1
0,1,0,0,300,0
0,1,0,0,301,0
0,1,0,1,301,1
1,1,0,1,302,1
